event_id,start_sample,end_sample,duration_sec,start_time_min,kmeans_cluster,dbscan_cluster,is_anomaly,anomaly_score,pca_1,pca_2,pca_3,peak_acceleration,rms_acceleration,energy,dominant_freq,spectral_centroid
24,74826,75056,2.3,12.471,5,-1,0,-0.40001463444853486,-1.597638010958515,1.6691082162865052,0.0,2.484653635714797,0.9390866435776223,202.83325655355338,15.789473684210526,18.66961958135141
25,77194,78613,14.19,12.865666666666668,2,-1,1,-0.5776223622161577,10.203767019333677,-0.8265823442980689,0.0,16.96737674225854,2.615983272129018,9710.7398732035,1.271186440677966,16.113110152834626
26,78838,79140,3.02,13.139666666666667,0,-1,0,-0.4427047925894813,-2.007942454769959,-3.689575039151547,0.0,1.8391044468411955,0.768588556527605,178.39996750600665,1.3333333333333333,17.099388246625132
27,80244,80463,2.19,13.374,4,-1,0,-0.37967158166369064,-2.2677549654175198,1.1609944010642552,0.0,2.0413246746807547,0.7689912392386531,129.50510819965007,2.314814814814815,19.328569989281153
28,82198,83682,14.84,13.699666666666667,2,-1,1,-0.5919204144406374,14.247768848450066,0.2620020234554692,0.0,24.826743674262833,3.47533349112825,17923.667225843583,1.214574898785425,15.806550933080958
29,84343,84689,3.46,14.057166666666665,0,-1,0,-0.40381124546096725,-2.577109426615837,-2.37273841078355,0.0,1.5824403115064698,0.6510363151065351,146.65150612127354,1.1627906976744187,17.802779065043758
30,85648,85809,1.61,14.274666666666667,3,-1,0,-0.4755047378339005,-0.2029776098914318,-5.669511407198912,0.0,2.799650529080613,1.1743712771610066,222.0428113559446,2.5316455696202533,13.351953048447257
31,87805,89907,21.02,14.634166666666665,2,-1,1,-0.575969845533703,8.46838143225616,-0.6436865176565814,0.0,12.891861381179961,2.42215478762664,12332.084679598016,1.2380952380952381,16.005504069770524
32,90297,90474,1.77,15.0495,3,-1,0,-0.4258915780410708,-2.388709944674279,-2.971992555484655,0.0,1.574662610435485,0.6702792667065397,79.52155028166823,1.1494252873563218,15.858104489822972
33,91393,91570,1.77,15.232166666666666,0,-1,0,-0.38768615027660047,-1.660804301142741,-1.5733623684638054,0.0,2.659651909806341,0.93324275649535,154.15674153153395,2.8735632183908044,18.71250721195687
34,95582,96210,6.28,15.930333333333333,4,-1,0,-0.39407152284593955,-0.9316244820827357,1.4874911689070385,0.0,3.690841014470085,0.8356120312166524,438.4994090964044,1.4376996805111821,20.513370677873027
35,96832,96951,1.19,16.13866666666667,5,-1,0,-0.46967835715084433,-2.9579233648991927,3.0142482307873992,0.0,1.932436859690422,0.7266667779425576,62.837308133684786,23.275862068965516,20.980133927439788
36,105679,107733,20.54,17.613166666666665,2,-1,1,-0.5834473543651412,13.4976355598577,1.9994313382106699,0.0,23.197315299938587,3.0791633364757733,19474.481035438854,1.1695906432748537,15.760052283157357
37,108128,108273,1.45,18.021333333333335,0,-1,0,-0.40022272543094484,-2.3543632328882587,-3.2375093872098906,0.0,1.8002159414879986,0.7786071564017176,87.90322007999546,1.408450704225352,16.06323534336301
38,109253,109386,1.33,18.208833333333335,3,-1,0,-0.571683416466031,0.3216187426840923,-6.192137154538336,0.0,3.0407592622742325,1.315592791438456,230.19432425368225,3.076923076923077,12.350701373601286
39,110372,110688,3.16,18.395333333333333,4,-1,0,-0.3567509904357492,-1.201488623990787,0.44656939707305815,0.0,3.2319566512949365,0.8919288342551709,251.38970633874908,1.2738853503184713,20.4100564611694
40,111228,111365,1.37,18.538,0,-1,0,-0.4558152776091554,-2.7412037843301897,-3.600226161442431,0.0,1.6485507706076816,0.7130243305499323,69.65130634599653,1.492537313432836,16.627291226956988
41,114083,114393,3.1,19.01383333333333,4,-1,0,-0.3717091962113389,-1.7405653400914622,2.1901191598208913,0.0,2.8314050461508784,0.7080556373514041,155.41626353138196,1.2987012987012987,20.67095757185088
42,114758,115049,2.91,19.12633333333333,5,-1,0,-0.3902762844189988,-2.2043553230740938,2.548338471224417,0.0,2.208545247702178,0.7717715727200326,173.328725893497,15.972222222222221,20.25232065966307
43,116714,120234,35.2,19.452333333333335,1,-1,1,-0.6429296898377462,17.29480554098073,-0.3821051646709421,0.0,24.43785862072482,3.2256567224155326,36625.111743843096,1.2791358726549176,15.294492096661138
44,121029,121707,6.78,20.171499999999998,4,-1,0,-0.37789658460971826,-1.2816257463594465,0.39638522777963486,0.0,3.0569583772025286,0.7308668184021525,362.1647556315912,1.3313609467455623,20.0102412843108
45,123314,125955,26.41,20.552333333333333,1,-1,1,-0.6999757697176702,19.930582748865938,-2.5819787347109555,0.0,26.001176535947856,4.292910393184027,48671.19933955953,1.288855193328279,15.853893825539357
46,126110,127622,15.12,21.01833333333333,0,-1,0,-0.46781539683405426,-0.3846770053716813,-4.067973822248881,0.0,2.629184818310456,0.8971364189311001,1216.9388763088477,1.2582781456953644,16.929926931962868
47,127827,127992,1.65,21.3045,3,-1,0,-0.5618457122066933,0.3856671941469588,-6.029447042540316,0.0,2.6168745539172202,1.305593512464957,281.2547792654463,3.0864197530864197,11.923003981361434
48,138205,138494,2.89,23.034166666666668,4,-1,0,-0.4286883330336275,-1.814773245325017,1.8553742693989734,0.0,3.2585348922548976,0.7199123830817611,149.78113956187906,1.3986013986013985,20.913580015452062
